models,alpha,beta,bias,variance,MSE,RMSE (%),contamination level,sample Size
Contaminations_U,5.13800047624612,2.0005878258826733,-6.318755043009462e-15,0.5246479100637927,0.5246479100637927,37.79041828577084,50.0%,35
Contaminations_T,4.8444326155076425,2.0012807135972634,-8.501136302844056e-15,0.6619536210025595,0.6619536210025595,21.50953603954796,50.0%,35
Contaminations_U,4.946861806567441,2.0001581895152296,-1.9996702706391392e-14,0.7419556118838533,0.7419556118838533,12.023382957520596,20.0%,35
Contaminations_U,5.02380589917567,2.0004848522502505,-1.2409121349524607e-14,0.7644648922643461,0.7644648922643461,9.354368385465026,30.0%,35
Contaminations_T,5.161981858185072,1.9958785359531515,-1.837260502465402e-14,0.7855050437485984,0.7855050437485984,6.859554248341706,30.0%,35
Contaminations_T,4.96812245654516,1.9995826013203806,-2.093563417864581e-14,0.7963063252989198,0.7963063252989198,5.578803492770396,20.0%,35
Contaminations_U,5.057556317331915,1.9968780708690994,-2.5021254909266385e-14,0.8036046777448145,0.8036046777448145,4.713408922139349,10.0%,35
Contaminations_U,4.908127069843815,1.99874382254675,-1.45915026093592e-14,0.8165514362562943,0.8165514362562943,3.178260461419536,5.0%,35
Contaminations_T,4.930864411141798,1.9977251145040857,-2.393006427934909e-14,0.8272694050905649,0.8272694050905649,1.9073884247329826,5.0%,35
Standard,4.890461555543439,1.9995352959762835,-1.2155356086753142e-14,0.8433554696989553,0.8433554696989553,0.0,10.0%,35
Standard,4.890461555543439,1.9995352959762835,-1.2155356086753142e-14,0.8433554696989553,0.8433554696989553,0.0,20.0%,35
Standard,4.890461555543439,1.9995352959762835,-1.2155356086753142e-14,0.8433554696989553,0.8433554696989553,0.0,30.0%,35
Standard,4.890461555543439,1.9995352959762835,-1.2155356086753142e-14,0.8433554696989553,0.8433554696989553,0.0,50.0%,35
Standard,4.890461555543439,1.9995352959762835,-1.2155356086753142e-14,0.8433554696989553,0.8433554696989553,0.0,5.0%,35
Contaminations_T,5.022989031677412,1.9979992848154686,-2.20775778611174e-14,0.8435205276590878,0.8435205276590878,-0.019571576406740118,10.0%,35
Contaminations_C,4.8747336290222165,2.000239959069106,-1.3754077242213368e-14,0.8930712021133889,0.8930712021133889,-5.89499140050401,5.0%,35
Contaminations_E,4.866257816740685,2.0006197034739666,-1.1774708192595947e-14,0.9299607298573636,0.9299607298573636,-10.269128886935777,5.0%,35
Outliers,4.863177475047408,2.0007577129631136,-1.6926143026856672e-14,0.945119525732209,0.945119525732209,-12.066567383452146,5.0%,35
Outliers,5.017139131289937,1.9982486269814366,-1.629172986992801e-14,1.1499603252810786,1.1499603252810786,-36.35535270691601,10.0%,35
Outliers,5.249436213237772,1.9932864743320815,-1.466763218819064e-14,1.455322710861239,1.455322710861239,-72.5633808221736,20.0%,35
Contaminations_E,4.920600983616168,2.0023988118700333,-1.0861153246618674e-14,1.5436863053462453,1.5436863053462453,-83.04100237795109,10.0%,35
